longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,53.862500,-9999.000000,-9999.000000
-8.087500,53.887500,-9999.000000,-9999.000000
-8.087500,53.912500,-9999.000000,-9999.000000
-8.087500,53.937500,-9999.000000,-9999.000000
-8.087500,53.962500,-9999.000000,-9999.000000
-8.087500,53.987500,-9999.000000,-9999.000000
-8.087500,54.012500,-9999.000000,-9999.000000
-8.087500,54.037500,-9999.000000,-9999.000000
-8.087500,54.062500,-9999.000000,-9999.000000
-8.087500,54.087500,-9999.000000,-9999.000000
-8.087500,54.112500,-9999.000000,-9999.000000
-8.087500,54.137500,-9999.000000,-9999.000000
-8.087500,54.162500,-9999.000000,-9999.000000
-8.087500,54.187500,-9999.000000,-9999.000000
-8.087500,54.212500,-9999.000000,-9999.000000
-8.087500,54.237500,-9999.000000,-9999.000000
-8.087500,54.262500,-9999.000000,-9999.000000
-8.087500,54.287500,-9999.000000,-9999.000000
-8.087500,54.312500,-9999.000000,-9999.000000
-8.087500,54.337500,-9999.000000,-9999.000000
-8.087500,54.362500,-9999.000000,-9999.000000
-8.087500,54.387500,-9999.000000,-9999.000000
-8.087500,54.412500,-9999.000000,-9999.000000
-8.087500,54.437500,-9999.000000,-9999.000000
-8.087500,54.462500,-9999.000000,-9999.000000
-8.087500,54.487500,-9999.000000,-9999.000000
-8.087500,54.512500,-9999.000000,-9999.000000
-8.087500,54.537500,-9999.000000,-9999.000000
-8.087500,54.562500,-9999.000000,-9999.000000
-8.087500,54.587500,-9999.000000,-9999.000000
-8.087500,54.612500,-9999.000000,-9999.000000
-8.087500,54.637500,-9999.000000,-9999.000000
-8.087500,54.662500,-9999.000000,-9999.000000
-8.087500,54.687500,-9999.000000,-9999.000000
-8.087500,54.712500,-9999.000000,-9999.000000
-8.087500,54.737500,-9999.000000,-9999.000000
-8.087500,54.762500,-9999.000000,-9999.000000
-8.087500,54.787500,-9999.000000,-9999.000000
-8.087500,54.812500,-9999.000000,-9999.000000
-8.087500,54.837500,-9999.000000,-9999.000000
-8.087500,54.862500,-9999.000000,-9999.000000
-8.087500,54.887500,-9999.000000,-9999.000000
-8.087500,54.912500,-9999.000000,-9999.000000
-8.087500,54.937500,-9999.000000,-9999.000000
-8.087500,54.962500,-9999.000000,-9999.000000
-8.087500,54.987500,-9999.000000,-9999.000000
-8.087500,55.012500,-9999.000000,-9999.000000
-8.087500,55.037500,-9999.000000,-9999.000000
-8.087500,55.062500,-9999.000000,-9999.000000
-8.087500,55.087500,-9999.000000,-9999.000000
-8.087500,55.112500,-9999.000000,-9999.000000
-8.087500,55.137500,-9999.000000,-9999.000000
-8.087500,55.162500,-9999.000000,-9999.000000
-8.087500,55.187500,0.107351,0.075001
-8.087500,55.212500,0.064523,0.041047
-8.087500,55.237500,0.066564,0.067152
-8.087500,55.262500,0.099052,0.110788
-8.087500,55.287500,0.051095,0.132974
-8.087500,55.312500,0.069361,0.113439
-8.087500,55.337500,0.040208,0.095280
-8.087500,55.362500,0.027133,0.091833
-8.087500,55.387500,0.022826,0.081447
-8.087500,55.412500,0.021486,0.069319
-8.087500,55.437500,0.029864,0.059109
-8.087500,55.462500,0.046523,0.043950
-8.087500,55.487500,0.060573,0.031156
-8.087500,55.512500,0.096182,0.021766
-8.087500,55.537500,0.120394,0.017710
-8.087500,55.562500,0.129233,0.017347
-8.087500,55.587500,0.142819,0.017232
-8.087500,55.612500,0.139643,0.018682
-8.087500,55.637500,0.117278,0.018956
-8.087500,55.662500,0.111774,0.016707
-8.087500,55.687500,0.111354,0.016752
-8.087500,55.712500,0.117988,0.017828
-8.087500,55.737500,0.139759,0.018183
-8.087500,55.762500,0.127040,0.016910
-8.087500,55.787500,0.135432,0.017223
-8.087500,55.812500,0.252752,0.024555
-8.087500,55.837500,0.370489,0.031740
-8.087500,55.862500,0.386516,0.031752
-8.087500,55.887500,0.249081,0.025272
-8.087500,55.912500,0.196929,0.027358
-8.087500,55.937500,0.220059,0.033956
-8.087500,55.962500,0.202011,0.032680
-8.087500,55.987500,0.187835,0.030428
-8.087500,56.012500,0.184496,0.027523
-8.087500,56.037500,0.168339,0.023807
-8.062500,50.962500,0.154012,0.023778
