longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,53.837500,-9999.000000,-9999.000000
-8.087500,53.862500,-9999.000000,-9999.000000
-8.087500,53.887500,-9999.000000,-9999.000000
-8.087500,53.912500,-9999.000000,-9999.000000
-8.087500,53.937500,-9999.000000,-9999.000000
-8.087500,53.962500,-9999.000000,-9999.000000
-8.087500,53.987500,-9999.000000,-9999.000000
-8.087500,54.012500,-9999.000000,-9999.000000
-8.087500,54.037500,-9999.000000,-9999.000000
-8.087500,54.062500,-9999.000000,-9999.000000
-8.087500,54.087500,-9999.000000,-9999.000000
-8.087500,54.112500,-9999.000000,-9999.000000
-8.087500,54.137500,-9999.000000,-9999.000000
-8.087500,54.162500,-9999.000000,-9999.000000
-8.087500,54.187500,-9999.000000,-9999.000000
-8.087500,54.212500,-9999.000000,-9999.000000
-8.087500,54.237500,-9999.000000,-9999.000000
-8.087500,54.262500,-9999.000000,-9999.000000
-8.087500,54.287500,-9999.000000,-9999.000000
-8.087500,54.312500,-9999.000000,-9999.000000
-8.087500,54.337500,-9999.000000,-9999.000000
-8.087500,54.362500,-9999.000000,-9999.000000
-8.087500,54.387500,-9999.000000,-9999.000000
-8.087500,54.412500,-9999.000000,-9999.000000
-8.087500,54.437500,-9999.000000,-9999.000000
-8.087500,54.462500,-9999.000000,-9999.000000
-8.087500,54.487500,-9999.000000,-9999.000000
-8.087500,54.512500,-9999.000000,-9999.000000
-8.087500,54.537500,-9999.000000,-9999.000000
-8.087500,54.562500,-9999.000000,-9999.000000
-8.087500,54.587500,-9999.000000,-9999.000000
-8.087500,54.612500,-9999.000000,-9999.000000
-8.087500,54.637500,-9999.000000,-9999.000000
-8.087500,54.662500,-9999.000000,-9999.000000
-8.087500,54.687500,-9999.000000,-9999.000000
-8.087500,54.712500,-9999.000000,-9999.000000
-8.087500,54.737500,-9999.000000,-9999.000000
-8.087500,54.762500,-9999.000000,-9999.000000
-8.087500,54.787500,-9999.000000,-9999.000000
-8.087500,54.812500,-9999.000000,-9999.000000
-8.087500,54.837500,-9999.000000,-9999.000000
-8.087500,54.862500,-9999.000000,-9999.000000
-8.087500,54.887500,-9999.000000,-9999.000000
-8.087500,54.912500,-9999.000000,-9999.000000
-8.087500,54.937500,-9999.000000,-9999.000000
-8.087500,54.962500,-9999.000000,-9999.000000
-8.087500,54.987500,-9999.000000,-9999.000000
-8.087500,55.012500,-9999.000000,-9999.000000
-8.087500,55.037500,-9999.000000,-9999.000000
-8.087500,55.062500,-9999.000000,-9999.000000
-8.087500,55.087500,-9999.000000,-9999.000000
-8.087500,55.112500,-9999.000000,-9999.000000
-8.087500,55.137500,-9999.000000,-9999.000000
-8.087500,55.162500,-9999.000000,-9999.000000
-8.087500,55.187500,-0.031193,0.015373
-8.087500,55.212500,0.004174,0.007858
-8.087500,55.237500,-0.001381,0.006175
-8.087500,55.262500,-0.003004,0.005909
-8.087500,55.287500,0.010631,0.005939
-8.087500,55.312500,-0.001362,0.004554
-8.087500,55.337500,-0.002004,0.003951
-8.087500,55.362500,-0.000931,0.003602
-8.087500,55.387500,-0.003593,0.003313
-8.087500,55.412500,0.006140,0.003012
-8.087500,55.437500,0.017243,0.004297
-8.087500,55.462500,0.014091,0.004328
-8.087500,55.487500,0.011578,0.004090
-8.087500,55.512500,0.011541,0.003719
-8.087500,55.537500,0.007712,0.003318
-8.087500,55.562500,0.004632,0.002844
-8.087500,55.587500,0.005038,0.003436
-8.087500,55.612500,0.009821,0.004330
-8.087500,55.637500,0.014476,0.003679
-8.087500,55.662500,0.011483,0.002792
-8.087500,55.687500,0.008841,0.002474
-8.087500,55.712500,-0.002001,0.002088
-8.087500,55.737500,-0.013141,0.001408
-8.087500,55.762500,-0.011204,0.001827
-8.087500,55.787500,-0.005844,0.001821
-8.087500,55.812500,0.001991,0.001833
-8.087500,55.837500,-0.004469,0.001458
-8.087500,55.862500,-0.010654,0.001005
-8.087500,55.887500,-0.008274,0.000940
-8.087500,55.912500,-0.007458,0.001010
-8.087500,55.937500,-0.016689,0.001149
-8.087500,55.962500,-0.023003,0.001613
-8.087500,55.987500,-0.009222,0.002102
-8.087500,56.012500,0.004482,0.002104
-8.087500,56.037500,0.015553,0.002096
-8.062500,50.962500,0.000114,0.001362
-8.062500,50.987500,0.000319,0.001511
-8.062500,51.012500,0.000018,0.001310
-8.062500,51.037500,-0.000526,0.001368
-8.062500,51.062500,-0.001246,0.001594
-8.062500,51.087500,-0.001779,0.001641
-8.062500,51.112500,-0.002349,0.001663
-8.062500,51.137500,-0.003252,0.001653
-8.062500,51.162500,-0.004125,0.001709
-8.062500,51.187500,-0.004386,0.001699
-8.062500,51.212500,-0.004293,0.001597
-8.062500,51.237500,-0.004017,0.001479
-8.062500,51.262500,-0.004075,0.001420
-8.062500,51.287500,-0.004451,0.001605
-8.062500,51.312500,-0.006336,0.002123
-8.062500,51.337500,-0.011682,0.003001
-8.062500,51.362500,-0.026831,0.005293
-8.062500,51.387500,-0.033426,0.006327
-8.062500,51.412500,-0.042091,0.007264
-8.062500,51.437500,-0.051502,0.008435
-8.062500,51.462500,-0.038568,0.006515
-8.062500,51.487500,-0.032625,0.006324
-8.062500,51.512500,-0.055596,0.009609
-8.062500,51.537500,-0.095475,0.015623
-8.062500,51.562500,-0.109068,0.019875
-8.062500,51.587500,-0.119973,0.024083
-8.062500,51.612500,-0.133047,0.031916
-8.062500,51.637500,-0.134777,0.033443
-8.062500,51.662500,-0.123331,0.030997
-8.062500,51.687500,-0.109390,0.038872
-8.062500,51.712500,-0.112623,0.054878
-8.062500,51.737500,-0.117617,0.080847
-8.062500,51.762500,-0.117303,0.101634
-8.062500,51.787500,-0.098582,0.110170
-8.062500,51.812500,-9999.000000,-9999.000000
-8.062500,51.837500,-9999.000000,-9999.000000
-8.062500,51.862500,-9999.000000,-9999.000000
-8.062500,51.887500,-9999.000000,-9999.000000
-8.062500,51.912500,-9999.000000,-9999.000000
-8.062500,51.937500,-9999.000000,-9999.000000
-8.062500,51.962500,-9999.000000,-9999.000000
-8.062500,51.987500,-9999.000000,-9999.000000
-8.062500,52.012500,-9999.000000,-9999.000000
-8.062500,52.037500,-9999.000000,-9999.000000
-8.062500,52.062500,-9999.000000,-9999.000000
-8.062500,52.087500,-9999.000000,-9999.000000
-8.062500,52.112500,-9999.000000,-9999.000000
-8.062500,52.137500,-9999.000000,-9999.000000
-8.062500,52.162500,-9999.000000,-9999.000000
-8.062500,52.187500,-9999.000000,-9999.000000
-8.062500,52.212500,-9999.000000,-9999.000000
-8.062500,52.237500,-9999.000000,-9999.000000
-8.062500,52.262500,-9999.000000,-9999.000000
-8.062500,52.287500,-9999.000000,-9999.000000
-8.062500,52.312500,-9999.000000,-9999.000000
-8.062500,52.337500,-9999.000000,-9999.000000
-8.062500,52.362500,-9999.000000,-9999.000000
-8.062500,52.387500,-9999.000000,-9999.000000
-8.062500,52.412500,-9999.000000,-9999.000000
-8.062500,52.437500,-9999.000000,-9999.000000
-8.062500,52.462500,-9999.000000,-9999.000000
-8.062500,52.487500,-9999.000000,-9999.000000
