longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,53.862500,-9999.000000,-9999.000000
-8.087500,53.887500,-9999.000000,-9999.000000
-8.087500,53.912500,-9999.000000,-9999.000000
-8.087500,53.937500,-9999.000000,-9999.000000
-8.087500,53.962500,-9999.000000,-9999.000000
-8.087500,53.987500,-9999.000000,-9999.000000
-8.087500,54.012500,-9999.000000,-9999.000000
-8.087500,54.037500,-9999.000000,-9999.000000
-8.087500,54.062500,-9999.000000,-9999.000000
-8.087500,54.087500,-9999.000000,-9999.000000
-8.087500,54.112500,-9999.000000,-9999.000000
-8.087500,54.137500,-9999.000000,-9999.000000
-8.087500,54.162500,-9999.000000,-9999.000000
-8.087500,54.187500,-9999.000000,-9999.000000
-8.087500,54.212500,-9999.000000,-9999.000000
-8.087500,54.237500,-9999.000000,-9999.000000
-8.087500,54.262500,-9999.000000,-9999.000000
-8.087500,54.287500,-9999.000000,-9999.000000
-8.087500,54.312500,-9999.000000,-9999.000000
-8.087500,54.337500,-9999.000000,-9999.000000
-8.087500,54.362500,-9999.000000,-9999.000000
-8.087500,54.387500,-9999.000000,-9999.000000
-8.087500,54.412500,-9999.000000,-9999.000000
-8.087500,54.437500,-9999.000000,-9999.000000
-8.087500,54.462500,-9999.000000,-9999.000000
-8.087500,54.487500,-9999.000000,-9999.000000
-8.087500,54.512500,-9999.000000,-9999.000000
-8.087500,54.537500,-9999.000000,-9999.000000
-8.087500,54.562500,-9999.000000,-9999.000000
-8.087500,54.587500,-9999.000000,-9999.000000
-8.087500,54.612500,-9999.000000,-9999.000000
-8.087500,54.637500,-9999.000000,-9999.000000
-8.087500,54.662500,-9999.000000,-9999.000000
-8.087500,54.687500,-9999.000000,-9999.000000
-8.087500,54.712500,-9999.000000,-9999.000000
-8.087500,54.737500,-9999.000000,-9999.000000
-8.087500,54.762500,-9999.000000,-9999.000000
-8.087500,54.787500,-9999.000000,-9999.000000
-8.087500,54.812500,-9999.000000,-9999.000000
-8.087500,54.837500,-9999.000000,-9999.000000
-8.087500,54.862500,-9999.000000,-9999.000000
-8.087500,54.887500,-9999.000000,-9999.000000
-8.087500,54.912500,-9999.000000,-9999.000000
-8.087500,54.937500,-9999.000000,-9999.000000
-8.087500,54.962500,-9999.000000,-9999.000000
-8.087500,54.987500,-9999.000000,-9999.000000
-8.087500,55.012500,-9999.000000,-9999.000000
-8.087500,55.037500,-9999.000000,-9999.000000
-8.087500,55.062500,-9999.000000,-9999.000000
-8.087500,55.087500,-9999.000000,-9999.000000
-8.087500,55.112500,-9999.000000,-9999.000000
-8.087500,55.137500,-9999.000000,-9999.000000
-8.087500,55.162500,-9999.000000,-9999.000000
-8.087500,55.187500,-0.008347,0.014865
-8.087500,55.212500,-0.020747,0.014243
-8.087500,55.237500,-0.023941,0.013417
-8.087500,55.262500,-0.016509,0.008648
-8.087500,55.287500,-0.033114,0.011191
-8.087500,55.312500,-0.030368,0.015073
-8.087500,55.337500,-0.014937,0.007639
-8.087500,55.362500,-0.007831,0.005080
-8.087500,55.387500,-0.005777,0.004547
-8.087500,55.412500,-0.004274,0.004741
-8.087500,55.437500,-0.002072,0.005596
-8.087500,55.462500,-0.001098,0.004782
-8.087500,55.487500,0.004932,0.006522
-8.087500,55.512500,0.006856,0.007698
-8.087500,55.537500,0.003606,0.005617
-8.087500,55.562500,0.008334,0.009210
-8.087500,55.587500,0.015494,0.012955
-8.087500,55.612500,0.010774,0.010866
-8.087500,55.637500,0.010508,0.009628
-8.087500,55.662500,0.012315,0.009837
-8.087500,55.687500,0.047776,0.022394
-8.087500,55.712500,0.069036,0.030693
-8.087500,55.737500,0.074330,0.028782
-8.087500,55.762500,0.100718,0.035057
-8.087500,55.787500,0.208061,0.057843
-8.087500,55.812500,0.381307,0.096645
-8.087500,55.837500,0.657028,0.154529
-8.087500,55.862500,1.015074,0.232098
-8.087500,55.887500,1.229694,0.279858
-8.087500,55.912500,1.283056,0.293096
-8.087500,55.937500,1.235751,0.285206
-8.087500,55.962500,1.060282,0.250242
-8.087500,55.987500,0.754600,0.187906
-8.087500,56.012500,0.506028,0.136709
-8.087500,56.037500,0.278742,0.083147
-8.062500,50.962500,0.436192,0.344577
