longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,54.437500,-9999.000000,-9999.000000
-8.087500,54.462500,-9999.000000,-9999.000000
-8.087500,54.487500,-9999.000000,-9999.000000
-8.087500,54.512500,-9999.000000,-9999.000000
-8.087500,54.537500,-9999.000000,-9999.000000
-8.087500,54.562500,-9999.000000,-9999.000000
-8.087500,54.587500,-9999.000000,-9999.000000
-8.087500,54.612500,-9999.000000,-9999.000000
-8.087500,54.637500,-9999.000000,-9999.000000
-8.087500,54.662500,-9999.000000,-9999.000000
-8.087500,54.687500,-9999.000000,-9999.000000
-8.087500,54.712500,-9999.000000,-9999.000000
-8.087500,54.737500,-9999.000000,-9999.000000
-8.087500,54.762500,-9999.000000,-9999.000000
-8.087500,54.787500,-9999.000000,-9999.000000
-8.087500,54.812500,-9999.000000,-9999.000000
-8.087500,54.837500,-9999.000000,-9999.000000
-8.087500,54.862500,-9999.000000,-9999.000000
-8.087500,54.887500,-9999.000000,-9999.000000
-8.087500,54.912500,-9999.000000,-9999.000000
-8.087500,54.937500,-9999.000000,-9999.000000
-8.087500,54.962500,-9999.000000,-9999.000000
-8.087500,54.987500,-9999.000000,-9999.000000
-8.087500,55.012500,-9999.000000,-9999.000000
-8.087500,55.037500,-9999.000000,-9999.000000
-8.087500,55.062500,-9999.000000,-9999.000000
-8.087500,55.087500,-9999.000000,-9999.000000
-8.087500,55.112500,-9999.000000,-9999.000000
-8.087500,55.137500,-9999.000000,-9999.000000
-8.087500,55.162500,-9999.000000,-9999.000000
-8.087500,55.187500,0.024688,0.006902
-8.087500,55.212500,0.014269,0.004633
-8.087500,55.237500,0.007506,0.004066
-8.087500,55.262500,-0.008936,0.003677
-8.087500,55.287500,-0.026329,0.007004
-8.087500,55.312500,-0.031653,0.005869
-8.087500,55.337500,-0.006091,0.001735
-8.087500,55.362500,-0.003528,0.001383
-8.087500,55.387500,-0.005044,0.001860
-8.087500,55.412500,-0.005271,0.001780
-8.087500,55.437500,-0.011031,0.002845
-8.087500,55.462500,-0.013141,0.003318
-8.087500,55.487500,-0.015782,0.007520
-8.087500,55.512500,-0.015866,0.011952
-8.087500,55.537500,-0.019910,0.015824
-8.087500,55.562500,-0.025863,0.011689
-8.087500,55.587500,-0.017921,0.005572
-8.087500,55.612500,-0.019736,0.005821
-8.087500,55.637500,-0.025451,0.009178
-8.087500,55.662500,-0.028199,0.008876
-8.087500,55.687500,-0.026467,0.007450
-8.087500,55.712500,-0.031607,0.011486
-8.087500,55.737500,-0.027268,0.013148
-8.087500,55.762500,-0.015341,0.012688
-8.087500,55.787500,-0.003456,0.013533
-8.087500,55.812500,0.008991,0.013171
-8.087500,55.837500,0.006531,0.012431
-8.087500,55.862500,0.012340,0.012949
-8.087500,55.887500,0.027257,0.017462
-8.087500,55.912500,0.029478,0.018564
-8.087500,55.937500,0.005778,0.017444
-8.087500,55.962500,-0.023128,0.015449
-8.087500,55.987500,-0.021816,0.012340
-8.087500,56.012500,-0.007039,0.007917
-8.087500,56.037500,-0.006809,0.003895
-8.062500,50.962500,-0.004274,-0.000215
-8.062500,50.987500,-0.009430,0.000353
-8.062500,51.012500,-0.021552,0.001397
-8.062500,51.037500,-0.043596,0.003541
-8.062500,51.062500,-0.055598,0.005206
-8.062500,51.087500,-0.059363,0.006247
-8.062500,51.112500,-0.058512,0.005321
-8.062500,51.137500,-0.057795,0.003915
-8.062500,51.162500,-0.060931,0.003439
-8.062500,51.187500,-0.066951,0.004493
-8.062500,51.212500,-0.070075,0.006251
-8.062500,51.237500,-0.073964,0.007929
-8.062500,51.262500,-0.074015,0.008969
-8.062500,51.287500,-0.074264,0.009857
-8.062500,51.312500,-0.075177,0.010161
-8.062500,51.337500,-0.074141,0.010610
-8.062500,51.362500,-0.071142,0.010592
-8.062500,51.387500,-0.062920,0.009087
-8.062500,51.412500,-0.040823,0.004863
-8.062500,51.437500,-0.018949,0.001366
-8.062500,51.462500,-0.002011,-0.000437
-8.062500,51.487500,-0.003761,0.000229
-8.062500,51.512500,-0.003831,0.000626
-8.062500,51.537500,-0.000304,0.001838
-8.062500,51.562500,-0.005889,0.003096
-8.062500,51.587500,-0.027418,0.005457
-8.062500,51.612500,-0.115989,0.021431
-8.062500,51.637500,-0.168007,0.053815
-8.062500,51.662500,-0.249892,0.100429
-8.062500,51.687500,-0.474589,0.288177
-8.062500,51.712500,-0.582629,0.502469
-8.062500,51.737500,-0.660050,0.706157
-8.062500,51.762500,-0.712142,0.733385
-8.062500,51.787500,-0.752756,1.113599
-8.062500,51.812500,-9999.000000,-9999.000000
-8.062500,51.837500,-9999.000000,-9999.000000
-8.062500,51.862500,-9999.000000,-9999.000000
-8.062500,51.887500,-9999.000000,-9999.000000
-8.062500,51.912500,-9999.000000,-9999.000000
-8.062500,51.937500,-9999.000000,-9999.000000
-8.062500,51.962500,-9999.000000,-9999.000000
-8.062500,51.987500,-9999.000000,-9999.000000
-8.062500,52.012500,-9999.000000,-9999.000000
-8.062500,52.037500,-9999.000000,-9999.000000
-8.062500,52.062500,-9999.000000,-9999.000000
-8.062500,52.087500,-9999.000000,-9999.000000
-8.062500,52.112500,-9999.000000,-9999.000000
-8.062500,52.137500,-9999.000000,-9999.000000
