longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,53.862500,-9999.000000,-9999.000000
-8.087500,53.887500,-9999.000000,-9999.000000
-8.087500,53.912500,-9999.000000,-9999.000000
-8.087500,53.937500,-9999.000000,-9999.000000
-8.087500,53.962500,-9999.000000,-9999.000000
-8.087500,53.987500,-9999.000000,-9999.000000
-8.087500,54.012500,-9999.000000,-9999.000000
-8.087500,54.037500,-9999.000000,-9999.000000
-8.087500,54.062500,-9999.000000,-9999.000000
-8.087500,54.087500,-9999.000000,-9999.000000
-8.087500,54.112500,-9999.000000,-9999.000000
-8.087500,54.137500,-9999.000000,-9999.000000
-8.087500,54.162500,-9999.000000,-9999.000000
-8.087500,54.187500,-9999.000000,-9999.000000
-8.087500,54.212500,-9999.000000,-9999.000000
-8.087500,54.237500,-9999.000000,-9999.000000
-8.087500,54.262500,-9999.000000,-9999.000000
-8.087500,54.287500,-9999.000000,-9999.000000
-8.087500,54.312500,-9999.000000,-9999.000000
-8.087500,54.337500,-9999.000000,-9999.000000
-8.087500,54.362500,-9999.000000,-9999.000000
-8.087500,54.387500,-9999.000000,-9999.000000
-8.087500,54.412500,-9999.000000,-9999.000000
-8.087500,54.437500,-9999.000000,-9999.000000
-8.087500,54.462500,-9999.000000,-9999.000000
-8.087500,54.487500,-9999.000000,-9999.000000
-8.087500,54.512500,-9999.000000,-9999.000000
-8.087500,54.537500,-9999.000000,-9999.000000
-8.087500,54.562500,-9999.000000,-9999.000000
-8.087500,54.587500,-9999.000000,-9999.000000
-8.087500,54.612500,-9999.000000,-9999.000000
-8.087500,54.637500,-9999.000000,-9999.000000
-8.087500,54.662500,-9999.000000,-9999.000000
-8.087500,54.687500,-9999.000000,-9999.000000
-8.087500,54.712500,-9999.000000,-9999.000000
-8.087500,54.737500,-9999.000000,-9999.000000
-8.087500,54.762500,-9999.000000,-9999.000000
-8.087500,54.787500,-9999.000000,-9999.000000
-8.087500,54.812500,-9999.000000,-9999.000000
-8.087500,54.837500,-9999.000000,-9999.000000
-8.087500,54.862500,-9999.000000,-9999.000000
-8.087500,54.887500,-9999.000000,-9999.000000
-8.087500,54.912500,-9999.000000,-9999.000000
-8.087500,54.937500,-9999.000000,-9999.000000
-8.087500,54.962500,-9999.000000,-9999.000000
-8.087500,54.987500,-9999.000000,-9999.000000
-8.087500,55.012500,-9999.000000,-9999.000000
-8.087500,55.037500,-9999.000000,-9999.000000
-8.087500,55.062500,-9999.000000,-9999.000000
-8.087500,55.087500,-9999.000000,-9999.000000
-8.087500,55.112500,-9999.000000,-9999.000000
-8.087500,55.137500,-9999.000000,-9999.000000
-8.087500,55.162500,-9999.000000,-9999.000000
-8.087500,55.187500,0.360569,0.128873
-8.087500,55.212500,0.357041,0.133545
-8.087500,55.237500,0.478290,0.176784
-8.087500,55.262500,0.672099,0.249630
-8.087500,55.287500,0.719726,0.267717
-8.087500,55.312500,0.692192,0.239563
-8.087500,55.337500,0.667624,0.228993
-8.087500,55.362500,0.660446,0.231248
-8.087500,55.387500,0.682118,0.234369
-8.087500,55.412500,0.765243,0.239630
-8.087500,55.437500,1.061689,0.264734
-8.087500,55.462500,1.241747,0.278804
-8.087500,55.487500,1.450160,0.304028
-8.087500,55.512500,1.791181,0.343946
-8.087500,55.537500,2.128277,0.376873
-8.087500,55.562500,2.646378,0.434220
-8.087500,55.587500,2.894581,0.467542
-8.087500,55.612500,3.067918,0.502745
-8.087500,55.637500,3.153132,0.530655
-8.087500,55.662500,3.215836,0.554289
-8.087500,55.687500,3.252432,0.566021
-8.087500,55.712500,3.253569,0.572112
-8.087500,55.737500,3.230830,0.569799
-8.087500,55.762500,3.203358,0.566642
-8.087500,55.787500,3.186400,0.570181
-8.087500,55.812500,3.188649,0.585690
-8.087500,55.837500,3.232213,0.610929
-8.087500,55.862500,3.219080,0.615440
-8.087500,55.887500,3.196351,0.613875
-8.087500,55.912500,3.189611,0.609256
-8.087500,55.937500,3.202775,0.603402
-8.087500,55.962500,3.214380,0.598071
-8.087500,55.987500,3.226438,0.587406
-8.087500,56.012500,3.263105,0.572600
-8.087500,56.037500,3.283260,0.551127
-8.062500,50.962500,4.508600,1.172596
